huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento_entero,limpieza,llegada_autonoma,ubicacion_fantastica,cocina,wifi,lavadora,aire_acondicionado,secador,frigorifico
5,3,4,1,113,4.97,1,1,1,0,1,1,0,1,0,1
2,1,1,1,40,4.6,0,0,1,0,0,1,1,0,1,1
6,2,4,1,160,4.89,1,1,1,0,1,1,0,1,1,1
5,2,3,1,105,4.9,1,1,1,0,1,1,0,1,1,0
2,1,1,2,36,4.65,0,1,0,1,1,1,0,0,1,1
8,3,5,2,206,4.75,1,1,0,1,1,1,0,1,1,0
5,3,5,2,145,4.49,1,1,1,1,1,1,0,1,1,1
2,0,1,1,59,4.73,1,1,0,1,1,1,0,1,1,0
7,3,5,1,86,4.67,1,1,0,1,1,1,0,0,0,1
6,3,4,1,171,4.0,1,0,1,1,1,1,0,1,0,1
3,2,2,1,52,4.89,1,1,1,1,1,1,0,1,1,1
6,2,3,1,95,4.17,1,0,0,1,0,0,1,0,0,1
5,2,3,1,110,4.0,1,0,0,1,1,1,0,1,1,1
2,0,1,1,63,4.82,1,1,0,1,1,1,0,0,1,0
6,3,5,2,152,4.73,1,1,1,0,1,1,1,1,1,0
6,3,5,2,107,4.0,1,1,1,1,1,1,0,1,0,1
2,1,1,2,41,4.57,0,1,0,1,1,1,0,0,1,0
6,3,3,3,205,5.0,1,1,1,0,1,1,0,1,1,0
6,2,3,2,197,4.0,1,1,0,1,1,1,0,1,1,0
4,1,2,1,50,3.44,1,0,1,1,1,1,0,1,0,1
6,2,3,1,155,4.96,1,1,1,0,1,1,0,1,1,0
5,2,3,1,63,4.43,1,1,1,1,1,1,0,1,0,1
4,1,2,1,64,4.34,1,0,1,1,1,1,0,1,0,1
6,3,4,2,184,4.0,1,1,1,1,1,1,0,1,1,1
6,2,3,2,104,5.0,1,1,0,1,1,1,0,1,1,1
2,1,1,1,68,4.54,1,0,1,0,1,1,0,1,1,0
6,3,3,3,172,4.22,1,0,1,0,0,0,1,0,0,1
8,4,5,2,150,4.85,1,1,1,0,0,0,1,0,0,1
2,1,1,1,65,4.63,1,1,1,0,1,1,0,1,1,1
6,2,4,1,90,4.23,1,1,0,1,1,1,0,1,0,1
6,2,2,2,189,4.96,0,1,1,1,0,0,1,1,0,1
5,3,3,1,72,4.47,1,0,0,0,1,1,0,1,1,0
4,1,2,1,50,4.59,1,0,1,1,1,1,0,0,0,1
6,3,5,1,87,4.91,1,1,1,1,1,1,0,1,1,1
5,2,2,1,119,4.86,1,1,1,0,0,0,1,0,0,1
3,1,2,1,80,4.96,1,1,1,0,1,1,0,1,1,1
5,2,2,2,160,4.74,1,1,0,1,1,1,0,0,1,1
6,3,4,2,156,4.46,1,0,0,1,1,1,0,1,0,1
2,1,1,1,67,4.0,1,0,1,1,1,1,0,0,1,0
7,0,6,1,100,4.63,1,1,1,0,1,1,0,1,1,1
6,3,5,2,112,4.0,1,1,1,0,1,1,0,1,0,1
5,2,2,1,45,4.18,1,1,1,1,1,1,0,0,1,0
5,2,3,1,140,4.86,1,1,1,1,1,1,0,1,1,0
6,3,3,1,47,4.0,1,1,1,1,0,0,1,0,0,1
1,1,1,1,30,4.68,0,1,1,0,0,1,1,1,1,1
6,2,3,2,165,4.97,1,1,0,1,1,1,0,1,0,1
6,2,3,1,130,4.86,1,1,1,0,1,1,0,1,1,1
4,1,2,1,56,4.55,1,1,0,1,1,1,0,1,1,1
6,2,3,1,160,4.67,1,1,1,1,0,0,1,0,0,1
5,3,4,1,60,4.73,1,1,1,1,1,1,0,1,0,1
2,1,2,1,50,4.4,1,0,0,1,1,1,0,1,1,1
6,2,4,1,189,4.86,1,1,0,1,1,1,0,1,1,0
5,3,3,1,85,4.65,1,0,1,1,1,1,0,0,1,0
2,1,1,1,45,4.76,1,1,0,1,1,1,1,0,1,0
6,2,4,2,181,4.64,1,1,0,1,1,1,0,1,1,0
7,3,5,2,125,4.94,1,0,1,0,1,1,0,1,1,1
3,1,1,1,89,4.96,1,1,1,0,1,1,0,1,1,0
6,2,3,1,160,4.67,1,1,1,1,0,0,1,0,0,1
5,2,4,1,95,4.5,1,1,0,1,1,1,0,1,0,1
6,2,3,1,89,4.49,1,1,1,1,1,1,0,1,0,1
5,2,2,1,155,4.6,1,1,0,1,1,1,0,1,1,1
6,3,6,2,90,4.7,1,1,1,1,1,1,0,1,1,1
3,1,2,1,75,4.0,1,0,1,0,1,1,0,1,1,0
6,2,3,1,120,4.86,1,1,0,1,1,1,0,0,0,1
5,2,3,2,61,4.75,1,1,1,1,1,1,0,1,0,1
2,1,1,1,51,4.0,0,1,1,0,1,1,1,1,1,0
6,2,3,2,195,4.0,1,1,0,1,1,1,0,1,1,0
2,1,2,1,50,4.45,1,1,1,0,1,1,1,1,0,0
6,3,4,1,60,4.8,1,1,1,1,1,1,0,1,0,1
2,1,1,1,20,4.55,0,1,1,0,1,1,0,0,1,0
5,1,2,1,179,4.0,1,0,1,0,1,1,0,1,1,1
8,4,5,2,120,4.85,1,1,1,0,1,1,0,1,0,1
2,0,1,1,63,4.91,1,1,0,1,1,1,0,0,0,1
6,3,5,2,152,4.73,1,1,1,0,1,1,1,1,1,0
5,3,3,1,138,5.0,1,1,1,0,1,1,0,1,0,1
2,1,1,1,45,4.72,1,1,0,1,1,1,1,0,1,0
8,2,4,1,120,4.9,1,1,0,1,1,1,0,1,0,1
10,4,8,2,224,4.93,1,1,0,1,1,1,0,1,0,1
